index,segment,answerDate,NPS,impactInteraction,reason,improvement
117,Segmento 1,MES 1,0,5,Porque no tienen más sucursal y me toca ir a pagar siempre tarde y no me envían mi estado de cuenta a mi correo electrónico teniendo mis datos,Terner más puntos de atención donde pueda pagar sin nesecidad de llegar al centro y enviarme mi estado de cuenta a mi correo electrónico
118,Segmento 1,MES 2,5,3,Mucha demora,Más asesoría
119,Segmento 2,MES 3,0,1,TENGO UN PROBLEMA CON UN PRESTAMO Y NO ME FUE RESUELTO,RESOLVER EL PROBLEMA
120,Segmento 1,MES 1,0,1,Por la sencilla razón que vengo pagando mis cuotas al día y me ofrecieron una refinanciacion sin haberla solicitado y resultaron cobrándome gastos jurídicos sin estar atrasado en mis pagos y nadie me supo dar razón de nada y me tienen bloqueada la tarjeta,Que los acesores no están llamando a ofrecer planes y después están haciendo cobros jurídicos estando al día en sus pagos como me pasó a mi y la respuesta en el banco es paga o paga
121,Segmento 1,MES 2,2,2,"Muy lentos, y no dan créditos, absurdo","Contratar personal, y dar créditos para eso sin banco"
122,Segmento 1,MES 3,1,1,"Nunca hay línea ,lo en ponen a esperar mucho a uno pero para llamar a cobrar si hay línea y hasta de sobra por q le hacen muchas llamadas a uno.",
123,Segmento 2,MES 1,3,4,"La funcionaria que me atendió fue muy atenta, pero el sistema virtual de Colpatria es poco amigable.  Tuve que desplazarme hasta una sucursal física para solucionar mi problema de pérdida de mi clave y vía internet y telefónica fué imposible lograrlo.",Tenía una nueva banker y no me comunicaron.  Llamaba a las anteriores y nunca obtuve respuesta ni virtual ni telefónica.  En la sucursal me dieron el nombre de mi nueva banker.  Que haya mayor comunicación con los clientes y pueda atender mis requerimientos vía internet.
124,Segmento 1,MES 2,5,3,porque no era lo que pretendia yo queria un prestamo de libre inversion y e la oficina me dijeron que la informacion era un aumento en latarjeta de credito,en estos momentos acudi a otro banco
125,Segmento 1,MES 3,0,1,"En general muy mal servicio del banco. sus canles de comunicacion son dificiles de acceder, en especiales canales digitales, hacen todo imposible para que el cliente pueda comunicarse de manera virtual, los procesos y solicitudes toman demasiado tiempo. los asesores no estan bien informados y la informacion que dan se contradice con la de otros asesores.","mejorar los canales de comunicacion, hacer los procesos menos burocraticos y complicados para el cliente. que los asesores esten bien informados y capacitados. ofrecer metodos de verificacion diferentes a mensajes de texto."
126,Segmento 2,MES 1,0,1,UN BANCO DEMASIADO APROVECHADO INJUSTO CON SUS CLIENTES ATODA COSTA SIEMPRE HAY QUE PAGAR LO QUE AQUIERAN COBRAR,QUE NO LE ROBEN TAN VIL MENTE LA PLATA A SUS CLIENTES
127,Segmento 1,MES 2,1,1,Todo el día he tratado de cancelar un producto con ustedes. Al final el asesor nunca respondió. Deben tener respeto por el tiempo de los demás!!...Que triste!!,.... jejejeje.....no cambiarán!!
128,Segmento 1,MES 3,0,2,Los asesores deberían tener más empatía,Que hagan felices a sus empleados para que no tengan mala cara
129,Segmento 2,MES 1,0,1,"necesitaba pagar la totalidad de una deuda de tarjeta de credito pues uds son los mas caros y usureros del mercado y me dieron mal la informacion de pago,",no volverme a llamar
130,Segmento 1,MES 2,3,2,El tiempo de espera es mucho y por q me dijeron q ya estaba lista mi tarjeta de crédito q ya podía pasar por ella y cuando fui al banco me dicen como si nada q aun no esta,Dar mejor la información y un servicio más rápido en las oficinas
131,Segmento 1,MES 3,2,3,"No me parece buena la atencion, fui a la oficina para que me pusieran a hablar por un telefono y ni me escuchaban bien. con la era digital deberian tener mejores formas de comunicarse con sus clientes.",mas opciones por la aplicacion y lineas de atencion buenas
132,Segmento 1,MES 1,0,1,Porque primero dicen que tengo un.preaprobado y voy y no es verdad,Nada
133,Segmento 1,MES 2,0,4,Nnnnn,
134,Segmento 1,MES 3,0,1,no logre solucionar mi problema y aun sigo tratando de solucionarlo,ya nada pueden hacer para atenderme mejor
135,Segmento 1,MES 1,0,1,La atención es pésima dure más de 2 horas y no me resolvieron el problema,No me interesa
136,Segmento 1,MES 2,5,3,No me gusto la respuesta por el cobro de intereses que me cobraron sin deber nada en la tarjeta,
137,Segmento 1,MES 3,0,5,Por q al abrir cuenta nos dieron la posibilidad de obtener otro producto,Su servicio y atención es muy buena y eficacia
