segment,answerDate,NPS,impactInteraction,reason,improvement
1,1,0,1,No dan solución alguna más recomendar que acuda a sede presencial,Dar soluciones y gestionar por medio de la misma
2,2,6,3,,
1,3,0,3,,
1,1,5,3,No pude comunicarme con un asesor,No poner tantas trabas para hablar con un humano
2,3,0,3,Me gustaría hablar con el director de créditos. Decirle lo ratas que son y poder estar personalmente resolviendo el saldo del crédito que me inventaron y sigo pagando sabiendo que NO lo debo y que me están ROBANDO!!!,Ser honrados y devolverme el dinero de ese crédito!!!
1,1,2,3,Es muy lenta,Agilizar los procesos y actualizar los saldos de los pagos y de la cuenta cuando se realiza transferencias
1,2,6,3,No hay valores agregados diferenciales frente a otras páginas,Innovar
2,3,4,3,"muy pocos Cajeros en la ciudad, especialmente en Armenia y los pocos que hay mantienen dañados.  cuando se realiza una transferencia se demora mucho en ingresar a la entidad de destino",
1,1,0,1,"Cambio mucho el banco, los procesos son ineficientes, generan cobro errados y sin justificación",Cumplir con sus ofertas de valor
2,2,3,1,Se bloquea con facilidad,No pedir tantas cosas para ingresar. No exigir que cada vez que se cambie una clave sea diferente a todas las anteriores
2,3,6,2,"Porque muchas veces falla
El acceso biométrico, la mayoría de veces no se sabe la fecha de pago de un préstamo ya que en cada acceso es una fecha diferente,",Hacerla más estable
1,1,0,1,"El menú no da opción de contactar con asesor cuando estás sin clave de teléfono y de la tarjeta, como para una emergencia... Aparte nunca llegan los códigos de confirmación","Asegurarse con el prestador de servicios de mensaje automático que funcione. Que habiliten la opción de un asesor, que permitas actualizar clave de teléfono y de tarjeta q no uso porque todo lo hago virtual sin necesidad de tener que sacar un nuevo plástico, es absurdo $16.000 para tener una clave nueva?"
2,2,2,3,"Me cancelaron mi tarjeta de crédito por un problema de seguridad del banco y yo residiendo fuera del país no me han hecho entrega de la tarjeta ni a un familiar aún habiendo hecho un poder en el consulado. Aparte de la mala tasa de cambio que dan, muy inferior a otros bancos",
1,3,0,3,Na,Nada
2,1,6,3,"Las tasas de interes por mora son demasiado elevadas y no admiten negociaciones con el cliente, siendo las causas del no pago oportuno justificables.",La experiencia con la banca virtual es excelente.
2,2,6,3,,
1,3,0,3,"Tardan muchísimo en solucionar problemas, tengo un año esperando que me registren la firma para el cambio de tarjeta y los asesores solo cuelgan.",Agilizar el uso de los aplicativos para retiros sin tarjeta. Me pidieron pasaporte y permiso para la cuenta y ningún tipo de soporte
2,1,5,3,"LA BANCA VIRTUAL NO PERMITE COMUNICACION VIRTUAL CON UN ASESOR , ON LINE. SITUACVION QUE SE PRESENGTA CUANDO EL CLIENTE ESTA FUERA DEL PAIS.",MEJORAR LA COMUNICACION VIRTUAL
1,2,2,1,"The service standard is just excrement. It is not possible to do banking before 5 AM and if there are ptlroblems, customer service is rarely available.",Kill it. It is just shit
3,3,5,3,,
1,1,6,3,,
2,2,0,1,"q decepción tener que abrir la zona virtual y se queda colgado como si tuviera que conectarse mia satélite al rover, es una lastima que todos los bancos no se quedan colgados ustedes si, y eso me tiene muy, pero , muy, pero , mUy aburrida no navego con fluidez.",ya le he respondido decenas de veces y les importa nada
1,3,0,1,"No aprueban una transacción, no envían información es su monto de rechazo ni aprobación luego debitan el dinero 3 veces sin autorización, han pasado más de 15 días y no me lo regresan y tampoco dan respuesta.",Responder en servicio al cliente y no debitar dinero sin autorización y saltándose los controles impartidos por el banco y regresar el dinero
1,1,3,3,"Es un poco complicado conseguir un cajero porque son pocos en donde vivo, además que es imposible retirar sin tarjeta",Poder generar código o algo así para hacer retiros sin tarjeta
2,2,5,2,Porque me estan rechazando transferencias.,Que no me rechazen las transferencias que yo le pago a la gente.
1,3,3,1,No me resolvieron nada,Lo he dicho N veces.   Mejorar servicio
1,1,5,2,No encontré la solución a mi duda y problema,Colocar asesores que resuelvan los inconvenientes de los clientes.
1,2,5,3,No hay cambios en la plataformas,La simulacion de los productos crediticios deberia estar dentro de la app
1,3,5,3,,
